lambda_mic,gal1_dust,egal1_dust,gal2_dust,egal2_dust,gal3_dust,egal3_dust,gal4_dust,egal4_dust,gal5_dust,egal5_dust,gal6_dust,egal6_dust,gal7_dust,egal7_dust,gal_PAH,egal_PAH,AGN_A,AGN_B,AGN_Siem,eAGN_A_up,eAGN_A_down,eAGN_B_up,eAGN_B_down,eAGN_Siem_up,eAGN_Siem_down
0.1,5.2921322551432675e-22,1.0679407853095738e-24,5.352686646459351e-22,1.5165620297409037e-24,5.407783192765916e-22,2.053422350754006e-24,5.510314543280203e-22,3.2305890172528267e-24,5.62868010828793e-22,3.7128487179116455e-24,5.742082005517674e-22,1.4440228855886683e-24,6.120969534835017e-22,1.418397421140312e-23,6.334270799014679e-24,3.7150123607736655e-24,4.614202943301734,0.006615023340900446,0.4246691360332384,16.26183953652498,3.5882835801465376,0.06465697028170952,0.005975494279871098,1.2751912997495165,2.0411659977854457
0.10023052380778996,6.057720733989972e-22,1.1780714741426934e-24,6.124544341646522e-22,1.6741226648659294e-24,6.185376188318478e-22,2.266890042800353e-24,6.298590087732217e-22,3.5668289029087275e-24,6.429244838050892e-22,4.097043288828388e-24,6.554350598095901e-22,1.5923517063368296e-24,6.971764383834566e-22,1.5617329005597363e-23,7.292861515450393e-24,4.2680435045336035e-24,4.60856557364932,0.006628566781592285,0.42369242412383057,16.22882188893272,3.5832167555528445,0.06469653676837225,0.005987158986899169,1.2722584411460574,2.036471446262965
0.10046157902783953,6.856368378031081e-22,1.2920385884260198e-24,6.929680389886376e-22,1.8372093896804205e-24,6.996449196403047e-22,2.4878673819525888e-24,7.1207223418631115e-22,3.914932496767186e-24,7.264099628864447e-22,4.494767833010534e-24,7.401320924682972e-22,1.7458840245631554e-24,7.858603630807698e-22,1.710042548663611e-23,8.293859484250326e-24,4.845257670774308e-24,4.60293515449189,0.0066421379508009165,0.422717958589478,16.19640341234051,3.5780704393816523,0.06473611510257378,0.00599884589272506,1.2693323279302036,2.031787691909367
0.10069316688518044,7.656857095032014e-22,1.4062684240408137e-24,7.736672468402478e-22,2.0006720682229443e-24,7.8093919208697625e-22,2.70935412648138e-24,7.944749806571249e-22,4.26383855228524e-24,8.100878958731252e-22,4.89340922695642e-24,8.250243719517695e-22,1.899770271335636e-24,8.747487253381882e-22,1.858694085815605e-23,9.297164991683778e-24,5.423802453090099e-24,4.597311677183603,0.00665573690529704,0.4217457342636617,16.16404768300317,3.572886782939187,0.06477570525703442,0.006010555037812657,1.2664129445879941,2.027114709891854
0.10092528860766843,8.459191129104344e-22,1.5207615866223036e-24,8.545524855786574e-22,2.1645115671563676e-24,8.624208671860106e-22,2.9313514506874184e-24,8.770676850768307e-22,4.6135489193280996e-24,8.939587264172106e-22,5.2929695842230735e-24,9.101123483504306e-22,2.0540112625438487e-24,9.638419964329683e-22,2.0076883001513885e-23,1.0302783357176779e-23,6.003680918867881e-24,4.591695133089459,0.0066686114506193895,0.42077574599174505,16.13175458152908,3.5677098392374864,0.06481605945572841,0.006021534211345704,1.26350027564115,2.02245247543474
0.10115794542598984,9.263374734143182e-22,1.6355186832018315e-24,9.356241840493436e-22,2.328728755141389e-24,9.440903769451316e-22,3.1538605315784e-24,9.598507853437184e-22,4.96406545202529e-24,9.780228991934883e-22,5.693451023239704e-24,9.95396472792254e-22,2.2086078159581626e-24,1.0531406487287575e-21,2.1570259816234386e-23,1.1310719912417711e-23,6.584896142565507e-24,4.586085513585289,0.0066817482358582855,0.4198079886309465,16.099523988751656,3.562539599774217,0.06485619107910037,0.006032770046011209,1.260594305646989,2.0178009638193206
0.10139113857366794,1.0365616502240156e-21,1.7801799466421107e-24,1.0466729897238079e-21,2.536219531990178e-24,1.0558952932598062e-21,3.435397884528842e-24,1.0730659791839347e-21,5.408162438584721e-24,1.0928613301646822e-21,6.2008168259615105e-24,1.1117801442084242e-21,2.404302319195128e-24,1.174596842535746e-21,2.3454878767878445e-23,1.2712197618532555e-23,7.387512969370644e-24,4.58101376170211,0.006694638914798915,0.418842457050313,16.066824834084613,3.5579070077021635,0.06489660850292207,0.006043754179142585,1.2576950191983483,2.0131601503837455
0.10162486928706957,1.1790543372767751e-21,1.957209848705938e-24,1.1901757137629594e-21,2.7905505182969724e-24,1.2003254749078607e-21,3.78082891379627e-24,1.2192275806882087e-21,5.953553663227763e-24,1.2410165379605462e-21,6.823877385538235e-24,1.2618326943122131e-21,2.6444823303111797e-24,1.3308671098325508e-21,2.5762984521490692e-23,1.4539742695748165e-23,8.42982762800978e-24,4.576044370649166,0.0067075544629201355,0.4178791461306922,16.03409249699847,3.553376556352264,0.06493704078129367,0.006054757569718302,1.254802400923499,2.008530010522884
0.1018591388054117,1.3218755038975444e-21,2.1346478468409216e-24,1.334009245745843e-21,3.045467798077781e-24,1.3450886025102423e-21,4.127056243825636e-24,1.3657261194817902e-21,6.500202144489175e-24,1.3895132787828534e-21,7.448374248041706e-24,1.4122311512681807e-21,2.885216013534398e-24,1.4874976172999646e-21,2.807641100837389e-23,1.6371500699464762e-23,9.474545070089117e-24,4.571080372125111,0.006720494928200501,0.4169180507647058,16.001423818708915,3.548851277544798,0.06497748789583764,0.006065780249167782,1.2519164354860686,2.003910519688195
0.102093948370768,1.4650259073099404e-21,2.312494881805676e-24,1.4781743482635342e-21,3.300972722878658e-24,1.4901854435866507e-21,4.4740817102798035e-24,1.5125623722853579e-21,7.048110780644827e-24,1.5383523399465511e-21,8.07431072449216e-24,1.5629763124739831e-21,3.1265046452108184e-24,1.6444891953773555e-21,3.039517049408512e-23,1.820748134148105e-23,1.0521670834596604e-23,4.5666736917389485,0.006733460358711131,0.41595916585672144,15.968266746755468,3.544883097010322,0.06501794982810594,0.0060768222489641106,1.2490371075849538,1.999301653387598
