ID,aorkey,CTP_NAME,RA_hms,Dec_dms,z,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag,EQW6p2,w1_w2,Notes
98,24161792,WISEAJ163310.93+405641.1,16:33:10.906,+40:56:41.161,0.136,0.0,0.0,N/A,97.26,13.42,P.S,129.65,41.52,P.S,37.2,8.3,P.S,0.0,0.0,N/A,-101.0,-101.0,Ext.,0.963,0.415,AGN?
99,24162048,WISEAJ162058.80+542513.2,16:20:58.821,+54:25:13.422,0.08274,0.0,0.0,N/A,538.14,15.47,P.S,714.95,41.19,P.S,368.4,12.4,P.S,146.5,13.3,P.S,42.9,10.5,P.S,1.055,0.249,SF
100,24163584,WISEAJ105005.96+561500.1,10:50:05.977,+56:15:00.000,0.11848,0.0,0.0,N/A,250.62,15.75,P.S,183.67,36.58,P.S,104.4,8.4,P.S,52.8,8.2,P.S,0.0,0.0,N/A,1.102,0.343,AGN?
101,24164864,WISEAJ022457.65-041417.8,02:24:57.641,-04:14:17.837,0.063,0.0,0.0,N/A,329.63,15.85,P.S,397.61,40.38,P.S,168.7,11.4,P.S,87.6,12.4,P.S,0.0,0.0,N/A,1.055,0.261,AGN?
102,24165376,WISEAJ021953.04-051824.0,02:19:53.030,-05:18:24.231,0.07351,0.0,0.0,N/A,428.26,11.0,P.S,364.89,37.16,P.S,173.0,10.8,P.S,74.4,10.6,P.S,0.0,0.0,N/A,1.652,0.303,SF
103,24166144,WISEAJ161301.83+552123.0,16:13:01.827,+55:21:23.121,0.012,0.0,0.0,N/A,533.0,20.71,P.S,519.56,32.06,P.S,239.0,7.2,P.S,101.4,7.1,P.S,37.5,8.5,P.S,1.19,0.024,AGN?
104,25278720,WISEAJ104901.42+592820.5,10:49:01.022,+59:28:21.521,0.0925,0.0,0.0,N/A,0.0,0.0,N/A,392.48,23.92,P.S,237.5,7.6,P.S,117.1,11.6,P.S,0.0,0.0,N/A,1.899,0.209,SF
105,25387520,WISEAJ163019.95+411132.4,16:30:19.980,+41:11:32.509,0.0929,0.0,0.0,N/A,160.29,17.75,P.S,167.59,33.92,P.S,96.2,8.2,P.S,44.1,7.5,P.S,0.0,0.0,N/A,0.852,0.278,SF
106,25800960,WISEAJ153253.77+302059.1,15:32:53.774,+30:20:59.583,0.36113,0.0,0.0,N/A,101.13,3.77,P.S,125.12,7.14,P.S,82.1,12.3,P.S,41.9,12.8,P.S,0.0,0.0,N/A,0.635,0.321,AGN?
107,27444736,WISEAJ101756.90+390528.0,10:17:56.807,+39:05:27.832,0.05389,0.0,0.0,N/A,97.32,6.37,P.S,108.3,13.92,P.S,60.4,7.6,P.S,30.5,7.8,P.S,-101.0,-101.0,Ext.,0.658,0.333,AGN?
108,27445760,WISEAJ095912.41+022302.2,09:59:12.396,+02:23:02.585,0.704,0.0,0.0,N/A,16.07,2.06,P.S,25.73,6.52,P.S,22.1,5.1,P.S,-101.0,-101.0,Ext.,0.0,0.0,N/A,1.098,0.028,SF
109,27451904,WISEAJ100157.45+024118.0,10:01:57.411,+02:41:18.074,0.659,0.0,0.0,N/A,28.57,2.51,P.S,59.54,6.16,P.S,59.8,8.1,P.S,44.6,9.7,P.S,0.0,0.0,N/A,1.463,,SF
110,28144128,GALEXASCJ014202.93+213103.1,01:42:02.913,+21:31:02.773,0.0696,0.0,0.0,N/A,50.08,5.5,P.S,102.1,15.92,P.S,46.1,8.4,P.S,0.0,0.0,N/A,0.0,0.0,N/A,2.047,,SF
