ID,aorkey,CTP_NAME,RA_hms,Dec_dms,z,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag,EQW6p2,w1_w2,Notes
59,20338176,NGC6907a,20:25:06.592,-24:48:32.833,0.01061,18165.25,552.48,Ext.,30979.71,935.55,Ext.,31511.84,951.86,Ext.,15573.2,468.72,Ext.,6692.38,202.99,Ext.,2475.01,79.13,Ext.,0.763,0.258,SF
60,20338432,UGC01845,02:24:08.015,+47:58:11.194,0.01561,12754.23,227.12,P.S,16390.63,284.21,P.S,13311.77,198.77,P.S,5390.3,57.0,P.S,2046.0,47.6,P.S,646.0,29.4,P.S,2.453,0.348,AGN?
61,20339968,IRAS20351+2521,20:37:17.681,+25:31:38.595,0.0337,7098.39,218.19,Ext.,9184.79,292.44,Ext.,7049.68,212.69,Ext.,2704.97,82.78,Ext.,1089.3,29.2,P.S,369.0,18.6,P.S,1.456,0.402,SF
62,20341760,NGC6701,18:43:12.495,+60:39:12.173,0.01323,12653.92,381.96,Ext.,19077.3,576.67,Ext.,16099.9,484.24,Ext.,6765.05,204.67,Ext.,2698.47,84.79,Ext.,0.0,0.0,N/A,0.869,0.276,SF
63,20342784,NGC0828,02:10:09.545,+39:11:24.737,0.01793,13395.59,403.03,Ext.,22902.86,688.6,Ext.,24577.9,743.47,Ext.,10838.21,326.2,Ext.,4548.65,138.93,Ext.,1604.5,60.6,P.S,0.774,0.332,SF
64,20347904,ESO264-G057,10:59:01.813,-43:26:25.451,0.0172,6831.23,204.78,Ext.,10361.12,315.44,Ext.,10523.89,320.32,Ext.,4549.39,138.97,Ext.,1877.07,60.32,Ext.,738.56,34.07,Ext.,3.215,0.332,AGN?
65,20348672,NGC0023,00:09:53.415,+25:55:26.296,0.01523,9124.74,275.32,Ext.,12989.78,393.03,Ext.,12172.11,376.12,Ext.,4792.84,145.68,Ext.,1923.01,60.7,Ext.,598.81,24.81,Ext.,0.814,0.216,SF
66,21650432,WISEAJ172611.94+592851.9,17:26:11.953,+59:28:51.830,0.07284,0.0,0.0,N/A,298.1,151.57,Ext.,247.48,40.89,P.S,135.5,7.8,P.S,61.4,8.5,P.S,31.45,8.83,Ext.,1.782,0.279,SF
67,21757696,WISEAJ143752.89+353251.1,14:37:52.906,+35:32:51.400,0.5628,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,170.6,9.2,P.S,93.4,8.9,P.S,30.9,10.2,P.S,0.905,0.401,AGN?
68,21926144,ESO540-G001,00:34:13.710,-21:26:19.861,0.02685,4460.08,139.89,Ext.,0.0,0.0,N/A,6191.08,199.25,Ext.,3124.89,96.71,Ext.,1285.1,48.12,Ext.,367.7,18.4,P.S,0.942,0.377,SF
69,22070528,WISEAJ010649.38+010323.0,01:06:49.349,+01:03:22.880,0.2535,0.0,0.0,N/A,95.04,5.59,P.S,80.54,12.48,P.S,49.3,9.6,P.S,0.0,0.0,N/A,0.0,0.0,N/A,0.761,0.397,AGN?
70,22081536,NGC3185,10:17:38.591,+21:41:17.005,0.00406,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,2456.67,79.84,Ext.,1179.84,46.8,Ext.,460.87,27.76,Ext.,0.975,0.152,SF
71,22111744,NGC0838,02:09:38.520,-10:08:46.609,0.01284,13609.17,411.84,Ext.,16929.43,521.21,Ext.,12225.91,370.85,Ext.,4518.3,138.36,Ext.,1768.73,57.1,Ext.,566.8,22.9,P.S,1.472,0.389,AGN?
72,22123520,NGC4701,12:49:11.495,+03:23:16.976,0.00241,0.0,0.0,N/A,5091.2,161.03,Ext.,5690.75,177.95,Ext.,3072.36,98.0,Ext.,1718.59,59.48,Ext.,885.16,38.45,Ext.,1.507,0.128,SF
73,22125056,WISEAJ132444.89+321442.5,13:24:44.901,+32:14:42.408,0.06001,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,312.2,11.1,P.S,126.1,10.5,P.S,41.7,8.8,P.S,0.902,0.4,AGN?
74,22128896,WISEAJ155616.05+395137.8,15:56:16.022,+39:51:37.884,0.07122,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,371.3,21.6,P.S,135.2,18.1,P.S,50.8,14.5,P.S,1.428,0.425,AGN?
