ID,BAT_NAME,CTP_NAME,RA_hms,Dec_dms,z,logLx,Type,logNH,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag
35,SWIFT J0947.6-3057,MCG-5-23-16,09:47:40.152,-30:56:56.040,0.008,43.5,Sy1.9,22.18,1463.42,24.43,HPDP,0.0,0.0,N/A,444.96,207.36,HPDP,136.9,14.1,HPDP,57.1,11.6,HPDP,0.0,0.0,N/A
36,SWIFT J1335.8-3416,MCG-6-30-15,13:35:53.784,-34:17:44.160,0.007,42.8,Sy1.9,20.85,1177.27,20.6,HPDP,0.0,0.0,N/A,734.22,198.38,HPDP,244.2,11.7,HPDP,95.6,14.8,HPDP,0.0,0.0,N/A
37,SWIFT J0300.1+3674,Mrk 1066,02:59:58.584,+36:49:14.160,0.012,42.5,Sy2,,11861.34,214.01,HPDP,11891.23,215.86,HPDP,7848.65,150.21,HPDP,3047.5,38.6,HPDP,1265.5,29.1,HPDP,326.12,25.49,Ext.
38,SWIFT J1344.7+5588,Mrk 273,13:44:42.120,+55:53:12.480,0.037,43.2,Sy2,,24697.31,412.91,HPDP,22529.92,436.89,HPDP,12759.0,188.18,HPDP,4509.0,52.4,HPDP,1616.7,30.8,HPDP,507.2,22.0,HPDP
39,SWIFT J0747.5+6057,Mrk10,07:47:29.136,+60:56:00.600,0.029,43.4,Sy1.5,20.53,752.54,52.65,Ext.,0.0,0.0,N/A,1997.79,110.46,Ext.,1318.46,49.91,Ext.,702.1,33.68,Ext.,279.25,29.83,Ext.
40,SWIFT J0206.2-0019,Mrk1018,02:06:15.984,-00:17:29.040,0.042,44.0,Sy1.2,20.0,77.32,8.3,HPDP,0.0,0.0,N/A,108.42,40.62,Ext.,202.71,26.61,Ext.,146.67,21.59,Ext.,0.0,0.0,N/A
41,SWIFT J0925.0+5218,Mrk110,09:25:12.864,+52:17:10.680,0.035,44.2,Sy1.5,20.0,102.41,4.94,HPDP,110.03,23.36,Ext.,104.98,10.3,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
42,SWIFT J0804.2+0507,Mrk1210,08:04:05.856,+05:06:49.680,0.013,43.3,Sy1.9,23.4,1487.92,26.3,HPDP,1135.12,33.5,HPDP,833.92,40.27,Ext.,337.42,23.78,Ext.,142.59,16.4,Ext.,0.0,0.0,N/A
43,SWIFT J1506.7+0353A,Mrk1392,15:05:56.640,+03:42:25.200,0.036,43.7,Sy1.5,20.0,305.6,14.14,HPDP,0.0,0.0,N/A,816.88,85.99,Ext.,561.92,26.9,Ext.,222.6,22.88,Ext.,108.3,16.6,HPDP
44,SWIFT J0902.0+6007,Mrk18,09:01:58.320,+60:09:07.200,0.011,42.6,Sy1.9,23.08,2397.64,52.47,HPDP,0.0,0.0,N/A,2200.01,209.44,HPDP,809.0,16.5,HPDP,336.9,15.0,HPDP,128.8,16.7,HPDP
45,SWIFT J1535.9+5751,Mrk290,15:35:52.368,+57:54:09.360,0.029,43.6,Sy1.5,20.0,170.38,4.82,HPDP,167.96,4.86,HPDP,127.2,23.19,Ext.,50.8,11.2,HPDP,0.0,0.0,N/A,0.0,0.0,N/A
46,SWIFT J0615.8+7101,Mrk3,06:15:36.360,+71:02:15.000,0.013,43.7,Sy1.9,24.06,2966.8,76.61,HPDP,2733.42,89.14,Ext.,2076.72,71.36,Ext.,1254.61,56.79,Ext.,747.55,48.34,Ext.,320.61,32.9,Ext.
47,SWIFT J1049.4+2258,Mrk417,10:49:30.936,+22:57:51.840,0.032,43.9,Sy2,23.9,117.42,9.52,HPDP,0.0,0.0,N/A,144.04,34.93,Ext.,52.9,12.3,HPDP,0.0,0.0,N/A,0.0,0.0,N/A
48,SWIFT J1355.9+1822,Mrk463,13:56:02.880,+18:22:19.560,0.05,43.7,Sy1.9,23.81,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,475.49,45.99,Ext.,259.1,28.11,Ext.,89.77,21.24,Ext.
49,SWIFT J1441.4+5341,Mrk477,14:40:38.088,+53:30:15.840,0.037,43.6,Sy1.9,23.52,1310.46,24.42,HPDP,0.0,0.0,N/A,750.47,249.16,HPDP,245.2,39.2,HPDP,92.3,21.8,HPDP,0.0,0.0,N/A
50,SWIFT J1223.7+0238,Mrk50,12:23:24.144,+02:40:44.760,0.023,43.4,Sy1,20.0,31.77,8.21,HPDP,0.0,0.0,N/A,146.62,163.19,HPDP,67.85,14.73,Ext.,0.0,0.0,N/A,0.0,0.0,N/A
51,SWIFT J2044.2-1045,Mrk509,20:44:09.744,-10:43:24.600,0.034,44.4,Sy1.2,20.0,1515.77,26.68,HPDP,0.0,0.0,N/A,1166.65,202.57,HPDP,407.0,12.4,HPDP,154.7,13.5,HPDP,50.91,22.24,Ext.
52,SWIFT J2200.9+1032,Mrk520,22:00:41.376,+10:33:07.920,0.026,43.7,Sy1,22.32,5305.51,94.29,HPDP,7008.37,159.28,HPDP,5836.3,102.8,HPDP,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A
53,SWIFT J0214.6-0049,Mrk590,02:14:33.600,-00:46:01.200,0.026,43.2,Sy1.5,20.0,761.12,70.23,Ext.,0.0,0.0,N/A,2059.7,94.79,Ext.,1629.05,62.33,Ext.,690.74,38.98,Ext.,243.39,20.44,Ext.
54,SWIFT J0926.2+1244,Mrk705,09:26:03.288,+12:44:03.480,0.029,43.5,Sy1.2,20.0,691.82,18.92,HPDP,926.81,41.59,Ext.,997.4,46.62,Ext.,412.4,13.9,HPDP,216.69,18.26,Ext.,83.0,13.0,HPDP
55,SWIFT J1504.2+1025,Mrk841,15:04:01.200,+10:26:16.080,0.036,44.0,Sy1.2,20.0,452.04,6.81,HPDP,342.8,7.12,HPDP,175.11,7.71,HPDP,62.54,18.37,Ext.,0.0,0.0,N/A,0.0,0.0,N/A
56,SWIFT J2236.7-1233,Mrk915,22:36:46.512,-12:32:42.720,0.024,43.6,Sy1.9,20.0,427.3,12.25,HPDP,0.0,0.0,N/A,530.01,35.84,Ext.,319.55,23.16,Ext.,162.21,15.65,Ext.,56.0,11.4,HPDP
57,SWIFT J2304.8-0843,Mrk926,23:04:43.464,-08:41:08.520,0.046,44.7,Sy1.5,20.0,510.17,15.73,HPDP,0.0,0.0,N/A,581.33,182.44,HPDP,292.58,19.68,Ext.,0.0,0.0,N/A,0.0,0.0,N/A
58,SWIFT J0650.0+6085,NGC 2273,06:50:08.664,+60:50:44.880,0.006,41.9,Sy2,,6822.39,135.54,HPDP,8233.25,249.86,Ext.,6557.12,202.31,Ext.,3526.01,114.76,Ext.,1893.03,73.23,Ext.,790.46,46.93,Ext.
59,SWIFT J1017.8+7340,NGC 3147,10:16:53.640,+73:24:02.520,0.009,42.2,Sy2,,0.0,0.0,N/A,27067.38,832.57,Ext.,36216.72,1094.43,Ext.,22197.97,669.01,Ext.,9318.01,282.82,Ext.,3153.38,97.4,Ext.
60,SWIFT J0552.2-0727,NGC2110,05:52:11.376,-07:27:22.320,0.007,43.6,Sy2,22.94,4524.0,108.87,HPDP,5653.83,172.44,Ext.,4466.71,141.21,Ext.,1783.26,63.09,Ext.,803.14,39.46,Ext.,275.35,28.4,Ext.
61,SWIFT J0042.9-2332,NGC235A,00:42:52.800,-23:32:27.600,0.022,43.7,Sy1.9,23.5,2221.3,46.46,HPDP,2760.78,74.32,HPDP,2411.91,46.74,HPDP,978.1,17.6,HPDP,359.4,22.3,HPDP,120.7,16.5,HPDP
62,SWIFT J0856.0+7812,NGC2655,08:55:37.728,+78:13:23.160,0.004,41.8,Sy2,23.56,1485.19,55.13,Ext.,0.0,0.0,N/A,3780.54,165.74,Ext.,3620.56,130.55,Ext.,1895.2,89.37,Ext.,718.39,51.81,Ext.
