lambdamic,fluxJy,efluxJy
5.24749,0.15533059388717532,0.009637250900274175
5.27773,0.15881675854093458,0.019224805544418414
5.30797,0.15704161282677118,0.007832894523864254
5.33821,0.1585544217358858,0.004607416361584866
5.36846,0.16263230162769954,0.0072967483760009244
5.3987,0.16991554863009067,0.00772585643373824
5.42894,0.16829683338116005,0.006596222304015505
5.45918,0.16507689200363548,0.005715069454942439
5.48942,0.16694725626185358,0.005433138771128389
5.51967,0.1777759366035891,0.004526182096757089
5.54991,0.1820267644631757,0.0036641431923493837
5.58015,0.1853254068822149,0.004714454451710879
5.61039,0.1799125241380419,0.004298726155239314
5.64063,0.18241541158176647,0.0034405100397646793
5.67088,0.19156124990000392,0.0044057642453653265
5.70112,0.19106086673481829,0.00781569197366543
5.73136,0.19066250343826274,0.00370810526507971
5.7616,0.19336457253026512,0.004349378108602516
5.79184,0.1959908554341423,0.004292991971839706
5.82209,0.19945272964298957,0.0060428736059533516
5.85233,0.2019196672282446,0.004273878027174347
5.88257,0.2062861176056119,0.011392866717787428
5.91281,0.2079679880113135,0.00877903478479954
5.94305,0.21131326808458362,0.012248215741562258
5.9733,0.21379477993678575,0.008610832071744378
6.00354,0.21614803823985287,0.011649949273536511
6.03378,0.2179202691006268,0.0065388804700194265
6.06402,0.221408376989979,0.005773366986171787
6.09426,0.2225412833406711,0.004627486003483494
6.12451,0.2256475454360079,0.004995429438291661
6.15475,0.2301432209803067,0.005543043952954205
6.18499,0.23410159188315374,0.006341051142732958
6.21523,0.23617988234981793,0.006567551387017465
6.24547,0.2374653326945569,0.005153119481780876
6.27572,0.23974280480949883,0.00595972794665904
6.30596,0.24446486730037678,0.006187183888176815
6.3362,0.24765080205502463,0.006087791375916946
6.36644,0.24856509440150948,0.014575338504569758
6.39668,0.2519939336052766,0.019507691925465732
6.42693,0.25320748423307626,0.012851260695754346
6.45717,0.2567665202215713,0.0063525195095321734
6.48741,0.25807140292223985,0.015788118293586808
6.51765,0.2633560321172779,0.01850420983053437
6.54789,0.26992999812824087,0.006119329384614789
6.57814,0.26908080417412,0.006221588988574462
6.60838,0.27463942958776466,0.006634450193346224
6.63862,0.2770898496704794,0.020772079365079254
6.66886,0.2787785214007564,0.010548030363578546
6.6991,0.2823239547401007,0.00918425041170516
6.72935,0.2854438194845882,0.0062923105838362916
6.75959,0.2872374259368846,0.006933583427359097
6.78983,0.29182346193625575,0.008551578843281763
6.82007,0.2930943380140476,0.005297429764004338
6.85031,0.29545536925948657,0.00640126006842884
6.88056,0.2959615821314511,0.006495874094522369
6.9108,0.29714015451857756,0.007568166390249027
6.94104,0.30410568250152076,0.012201386577132128
6.97128,0.323435046944633,0.014077420246037146
7.00152,0.32676283789756644,0.007193533074807984
7.03177,0.3269008076246663,0.012785317586658856
7.06201,0.3350905740311703,0.016836518158481764
7.09225,0.3354510442336633,0.008291629195832878
7.12249,0.3343064784694134,0.01433354710455296
7.15273,0.33723201965460553,0.007591103123847458
7.18298,0.34548396960008415,0.006411772737994787
7.21322,0.3478722061438245,0.005905253204362765
7.24346,0.35917503597024075,0.018079880258963392
7.2737,0.36597053083880043,0.009832213135860841
7.30394,0.3676387985953513,0.007787976753900659
7.33419,0.37500268987485,0.00799058456735347
7.36443,0.3792408867030825,0.02375289903564204
7.39467,0.3847965972633376,0.015096193496700801
7.42491,0.39367621230534033,0.008925256461489539
7.45515,0.39253052150995776,0.01934130000716834
7.45515,0.3872800523511326,0.00987904230029097
7.4854,0.38951963137201195,0.008306920351565165
7.51564,0.40679591627338973,0.01664824580352798
7.57612,0.40612089759373204,0.007982586890506646
7.57612,0.40821754652297176,0.011185681617585812
7.6366,0.41295188208075256,0.007347802728199187
7.6366,0.42224463923737304,0.009441282667599858
7.69709,0.45579204486078373,0.015589936867319661
7.69709,0.45677798123531393,0.0063287276784092395
7.75757,0.4955915553156296,0.010955308284513849
7.75757,0.4922993051189356,0.008421201620722261
7.81805,0.4475332935907297,0.009661596029795317
7.81805,0.45728629075620764,0.008534879291626767
7.87854,0.4550740704469659,0.007125477371828428
7.87854,0.4497475594111219,0.008871888315989682
7.93902,0.46319270420321224,0.010142462637692253
7.93902,0.4607237722445856,0.0077894354496777524
7.99951,0.46040978628298723,0.013550780770652115
7.99951,0.4677245341570957,0.012172564760570942
8.05999,0.46861842252985453,0.014242906766955653
8.05999,0.4662313110172469,0.015100016285633873
8.12047,0.47410346067986064,0.007277382932063653
8.12047,0.4692228710748207,0.007236137051469982
8.18096,0.4671927012579715,0.006232151957994793
8.18096,0.4717685097015903,0.008249176118734028
8.24144,0.4713174744929099,0.012875756724838636
8.24144,0.47467620380199443,0.02187842466222288
8.30192,0.4709758741307801,0.0072482090165217885
8.30192,0.47471404575827825,0.01571266851201302
8.36241,0.4725693273170023,0.007597290005936509
8.36241,0.48430033376499226,0.006311625727919181
8.42289,0.48541002356412644,0.012357668224698633
8.42289,0.4863039119368853,0.017378599689162232
8.48337,0.4040897050213076,0.14121985917020063
8.48337,0.48622311424644143,0.008696844822738496
8.54386,0.489873328894469,0.007584212043797052
8.60434,0.4911947290976777,0.016418878467543665
8.66483,0.49445016009366305,0.012573957598543488
8.72531,0.49724637383636605,0.011877807613889348
8.78579,0.49655192280077887,0.007156663281545594
8.84628,0.49804719145177817,0.00591928686373549
8.90676,0.4993941605443678,0.008238110150769872
8.96724,0.5002716848279227,0.005596361798599682
9.02773,0.503997583388518,0.005618493734527993
9.08821,0.5213271538553655,0.007098315450461865
9.14869,0.5086490757447044,0.011616248371100221
